,Vmag,Plx,e_Plx,B-V,SpType
23696, 8.16,   5.10,  1.12, 0.023,B8V
23697, 7.32,   1.40,  0.90, 0.024,B9
23698, 7.87,  21.24,  1.45, 1.000,K0V
23699, 9.13,  -1.02,  0.84, 0.191,A3:Ia0e:
23700, 8.26,   2.10,  0.76, 1.538,M0III
23701, 9.02,   1.64,  1.02, 1.177,K0
23702, 8.25,  15.73,  0.68, 0.592,G1V
23703, 9.24,   3.86,  1.21, 0.142,A1V
23704, 9.93,   5.37,  1.60, 0.541,G0
23705, 8.41,   2.00,  1.40, 1.614,K5
23706, 6.49,  12.14,  0.93, 0.184,A5V
23707, 8.51,   5.23,  1.43, 1.230,K0III
23708, 8.68,   3.16,  0.84, 1.225,K1/K2III
23709,10.23,   0.28,  1.37, 0.293,A5V comp
23710, 7.43,   2.08,  0.95, 1.127,K0
23711, 7.99,   4.72,  1.12, 0.034,A0
23712, 6.68,  11.01,  0.67, 0.391,F2
23713, 9.03,   0.35,  0.94, 0.986,K0III
23714, 8.09,   2.16,  0.69, 1.427,K3III
23715, 7.05,   6.38,  0.93,-0.050,B9p
23716, 5.22,   4.86,  0.75,-0.080,B2.5Ve
23717, 8.65,   6.11,  1.10, 0.512,F3/F5V
23718, 8.67,   1.84,  1.24, 0.962,G8IV
23719, 6.26,   7.70,  0.48, 0.010,A0V
23720, 8.05,   3.47,  0.87, 1.043,K1III
23721, 8.09,  10.97,  0.76, 0.542,F5
23722, 7.59,   5.65,  1.08, 0.959,G5
23723, 7.47,   9.18,  0.96, 0.422,F5
23724, 7.72,  16.73,  0.59, 0.491,F6/F7V
23725, 6.08,   5.22,  0.92, 1.112,K0III
23726, 8.36,   6.14,  1.18, 0.388,F0
23727, 7.64,   4.04,  0.92, 0.008,B8V
23728, 9.16,   6.31,  1.00, 0.322,A2
23729, 7.61,  13.26,  0.94, 0.481,F5
23730, 8.80,   5.30,  1.06, 0.268,A3
23731, 9.30,   2.76,  0.95, 0.980,K0III
23732, 8.82,  18.78,  1.40, 0.730,K0
23733, 8.92,   1.84,  1.37, 0.112,B9
23734, 9.18,   8.56,  5.52, 0.493,F0V
23735, 7.17,   5.10,  0.91, 1.023,G5
23736, 7.12,   1.97,  0.77,-0.095,B8II
23737, 8.71,   4.26,  0.97, 0.248,A0
23738, 8.05,   4.86,  0.71, 0.404,F2IV
23739, 7.49,   6.81,  1.23,-0.100,B8V
23740, 9.03,   2.38,  1.21, 0.039,A0
23741, 9.21,   1.69,  1.35, 0.321,A2
23742, 8.90,   3.17,  1.33, 1.088,G5
23743, 8.45,   1.23,  0.81, 1.495,M4III
23744, 7.95,   7.37,  1.39, 0.118,A0
23745, 9.27,   3.27,  1.24, 0.000,A1V
23746, 6.00,   5.79,  0.83, 1.380,K5II
23747, 8.40,   8.43,  1.01, 0.533,F5
23748, 7.79,  12.44,  1.08, 0.705,G0
23749, 3.18,  14.87,  0.74,-0.148,B3V
23750, 7.58,  -0.33,  0.95, 0.953,G5
23751, 8.00,   3.63,  0.81, 1.079,K0
23752, 9.52,   0.66,  1.37, 0.687,F3V
23753, 8.23,   2.14,  1.08, 0.059,B9
23754, 8.64,   7.55,  1.14, 0.291,F0V
23755, 8.91,  12.00,  1.87, 0.721,G0
23756, 7.74,   1.29,  1.02, 0.116,B2IV
23757, 8.92,   2.96,  0.84, 1.202,K1III
23758, 7.32,  27.38,  0.82, 0.652,G5V
23759, 6.04,   8.98,  0.73,-0.030,B9.5/A0IV
23760, 7.52,   8.78,  1.05, 0.135,A4V
23761, 8.99,   1.48,  0.91, 0.885,G6w...
23762, 8.46,   3.66,  0.74, 0.116,A2V
23763, 7.93,   6.86,  0.62, 0.309,F0IV/V
23764, 7.82,   4.25,  0.68, 1.214,K2III/IVCN.
23765, 4.98,  38.14,  0.79, 0.343,F0V
23766, 7.13,   3.72,  1.00, 0.145,B9
23767, 8.39,   9.46,  0.72, 0.467,F5V
23768, 7.74,  41.70,  1.14, 0.804,K0V
23769, 9.40,   2.23,  1.45,      ,K0
23770, 8.66,   2.58,  1.12, 0.128,B9
23771, 7.30,  16.90,  1.25, 0.559,F8
23772, 7.86,   2.44,  1.04, 1.500,K5
23773, 9.32,   2.12,  1.18, 0.068,A0V
23774, 7.31,   1.80,  0.67, 1.286,K1III
23775, 9.38,   4.66,  0.92, 0.446,F8III
23776, 5.12,  11.65,  0.73,-0.059,B9.5V
23777, 8.01,  13.11,  1.09, 0.523,G0
23778,10.57,   6.12,  2.03, 0.716,G0
23779, 7.70,  13.16,  1.00, 0.427,F5
23780, 8.19,   4.27,  1.19, 0.954,G5
23781, 6.20,   3.79,  1.01, 0.444,F2IIp...
23782, 8.27,   1.98,  0.81, 1.005,K0III
23783, 9.21,   8.82,  0.90, 0.603,F8/G0V
23784, 7.30,  13.45,  0.90, 0.549,F5
23785, 8.46,   3.81,  0.90, 0.918,F5
23786, 9.10,   2.05,  1.58, 0.110,A2
23787, 9.74,   6.48,  2.10, 0.420,F2/F3V
23788, 8.36,   9.59,  0.99, 0.455,F5V
23789, 8.46,  11.26,  2.03, 0.488,F8
23790, 8.91,   5.89,  0.78, 0.853,G8IV/V
23791,10.35,   9.47,  2.36, 0.585,F8
23792, 8.00,   2.55,  1.04, 1.590,K5
23793,10.30,  12.34,  8.20, 0.821,
23794, 8.57,   1.81,  0.81, 1.367,K3III
23795, 8.18,   3.76,  1.06, 0.200,A0
23796, 7.64,   4.38,  1.05, 0.852,G
23797, 8.61,   1.00,  0.88, 1.788,M2/M3III:
23798, 7.04,  19.54,  0.87, 0.506,F7V
23799, 9.94,   6.13,  1.89, 0.418,F6
23800, 6.47,  26.44,  0.76, 0.648,G2V
23801, 8.30,   3.71,  1.07, 0.131,A0V
23802,11.46,  -2.48,  1.73, 0.574,F6
23803, 7.47,   8.42,  1.09, 0.366,F0V
23804, 8.13,   2.25,  0.90, 1.590,K2
23805, 8.62,   1.23,  1.28, 1.223,K1III
23806, 6.80,  21.01,  0.64, 0.573,F8V
23807, 8.33,   2.43,  1.23,-0.020,A0
23808, 8.60,   5.61,  3.30, 0.162,B9V
23809, 8.93,   3.79,  1.27, 0.243,A0
23810, 7.40,   2.66,  0.91, 0.087,B9
23811, 8.52,   3.00,  0.99, 0.237,A2IV/V
23812, 8.90,   7.46,  1.20, 0.435,F8
23813, 5.97,  27.60,  0.67, 0.606,G2V
23814, 8.33,   2.13,  1.36, 1.466,K0
23815, 6.91,   3.20,  0.57,-0.094,B5III
23816, 7.00,   3.96,  0.91,-0.104,B8
23817, 4.91,  63.02,  0.93, 0.657,G4V
23818, 7.61,   4.65,  0.92, 0.961,G8III
23819, 8.87,   1.52,  1.22,-0.029,B9V
23820, 7.30,   7.23,  1.23, 0.558,F8
23821, 9.77,   6.26,  1.19, 0.477,F2V
23822, 5.19,   5.20,  0.46, 1.646,M3III
23823, 7.33,  15.05,  0.61, 0.490,F5V
23824, 9.69,  -1.58,  1.65, 1.553,M
23825, 7.61,   5.35,  1.30,-0.068,B8V
23826, 7.96,   7.31,  0.95, 0.953,K0III
23827, 7.98,   2.22,  1.02,-0.036,A0
23828, 9.59,   8.17,  1.88, 0.516,G0
23829, 8.73,   4.78,  0.77, 0.196,A1m...
23830, 8.55,   1.69,  1.12, 1.650,K2III
23831, 8.73,   2.18,  1.39, 0.183,B9
23832, 7.45,   3.63,  0.89, 1.375,K0
23833, 9.13,  10.19,  1.07, 0.535,F6V
23834, 6.15,  35.34,  0.82, 0.625,G1IV
23835, 8.85,   1.31,  0.82, 1.278,K0
23836, 9.09,  12.65,  1.86, 0.512,G0
23837, 8.23,   6.25,  1.06, 1.042,K0III
23838, 7.93,  16.43,  0.67, 0.524,F7/F8V
23839, 8.24,   1.92,  0.82, 1.383,K3III
23840, 8.18,   3.53,  1.19, 0.778,F5
23841, 8.23,   1.30,  0.94, 0.927,G8III
23842, 8.80,   4.84,  1.29, 0.460,F8
23843, 9.10,   2.71,  1.18, 0.400,B9V
23844, 7.22,   5.40,  0.91, 1.180,K1III
23845, 8.75,   9.52,  0.88, 0.548,F7V
23846, 8.66,   5.17,  1.79, 0.000,A0
23847, 6.92,   4.68,  0.91, 1.330,K0
23848, 7.04,   4.61,  0.90, 0.056,A0
23849, 9.41,   6.04,  1.40, 0.440,F2
23850,12.66,   1.81,  4.20,      ,A2II
23851, 8.61,  23.54,  1.19, 0.785,G5
23852, 9.59,  11.60,  1.02, 0.662,G0
23853, 5.28,  18.80,  0.82, 0.118,A5V
23854, 9.48,   2.51,  1.44, 0.459,F6V
23855,10.20,  14.18,  6.84, 0.469,G5Ve(T)
23856, 6.33,   4.27,  0.75, 1.617,M1III
23857, 2.78,  36.71,  0.76, 0.161,A3IIIvar
23858, 9.04,  10.92,  0.74, 0.527,F8/G0V
23859, 7.95,   2.36,  2.24, 0.132,B9
23860, 8.38,   3.80,  1.19, 0.013,B9
23861, 5.33,  16.84,  1.32, 0.338,Am
23862, 9.89,   6.47,  2.15, 0.080,
23863, 8.67,  10.53,  0.76, 0.608,F8/G0V
23864, 8.61,   5.91,  0.76, 0.379,F2V
23865, 5.84,   3.16,  0.81, 0.168,B2Ve
23866, 7.60,  28.38,  1.08, 0.664,G5IV
23867, 8.34,   4.15,  0.82, 0.380,F0
23868, 9.00,   0.36,  1.12, 1.116,G8/K0IIICN.
23869, 9.70,  16.13,  1.84, 0.900,
23870, 7.32,   4.01,  0.82, 1.093,K0III
23871, 8.05,  11.51,  0.90, 0.641,G3/G5V
23872, 9.55,   9.75,  1.13, 0.711,G6/G8V
23873, 8.08,   6.49,  1.20, 0.400,A0
23874,10.82,   8.06,  2.61, 0.604,F8V
23875, 7.44,   4.51,  0.96, 1.130,K0
23876,10.05,   2.84,  1.97, 1.565,G8II-III
23877, 8.40,   2.38,  0.68, 1.032,K0III
23878, 6.66,  13.57,  1.20, 0.980,K0
23879, 7.24,   8.48,  1.08, 1.208,K2
23880, 7.88,   3.53,  1.08, 1.001,G5III
23881, 7.23,   6.95,  0.89, 0.095,A0
23882, 5.50,   1.01,  0.95, 0.030,B2V...
23883, 7.44,   9.21,  0.61, 0.299,A1m...
23884, 8.58,   8.69,  1.16, 0.493,F5V
23885, 9.09,   3.49,  1.73, 0.343,F0V
23886,11.18,  -0.59,  7.24, 0.235,
23887, 8.63,   6.25,  1.12, 0.223,A0
23888, 8.79,   6.69,  1.21, 0.405,F2
23889, 9.22,   4.78,  1.61, 1.104,G9V
23890, 6.38,   4.59,  0.76, 0.889,K1III + F/G
23891, 8.53,   6.65,  1.40, 0.314,A5
23892, 6.51,   6.24,  0.59, 1.087,K1III
23893, 8.67,   2.10,  1.74, 0.198,B8
23894, 8.32,   5.15,  0.86, 0.312,F0
23895, 9.07,  19.60,  1.40, 0.710,F5
23896, 8.76,   3.05,  1.25, 0.309,A3
23897, 9.36,   2.51,  0.86, 0.116,A2/A3III
23898, 5.80,   4.29,  0.91,-0.059,B8V
23899, 8.51,   3.56,  1.29, 0.187,B9
23900, 8.66,   1.86,  1.03, 0.171,A4V
23901, 8.26,   3.94,  1.05,-0.079,B8V
23902, 9.25,   6.60,  2.48, 0.410,F2V
23903, 8.04,   1.73,  0.68,-0.095,B8Vn
23904, 9.35,  11.91,  1.59, 0.607,G2V
23905,10.11,   8.47, 11.53, 0.669,G0
23906, 8.26,   3.62,  2.19, 0.745,G2III
23907, 9.60,   1.41,  1.46, 0.129,A
23908, 6.75,  17.40,  0.95, 0.662,G3V
23909, 7.53,   3.07,  1.03, 1.507,K4III
23910, 9.55,  -1.53,  1.53, 1.641,M1
23911, 7.07,  13.42,  0.95, 0.409,F2
23912, 7.24,  10.43,  1.03, 0.560,F8V
23913, 8.55,   3.57,  1.15, 0.521,F5/F6V
23914,10.28, 107.30,  2.00, 1.520,M5
23915, 6.96,   1.14,  0.91, 0.537,A2
23916, 8.71,   4.65,  1.26,-0.007,B9V
23917, 7.22,  10.94,  0.88, 0.406,F0V
23918, 8.42,   1.16,  1.22, 1.292,K0III
23919, 8.32,   2.27,  1.06, 0.249,A0
23920, 8.92,  10.06,  1.28, 0.627,G0
23921, 7.98,   2.03,  1.18, 0.104,A0
23922,10.02,   4.72,  1.11, 0.434,F3V
23923, 5.11,  39.99,  0.70, 0.455,F2V
23924, 8.85,   1.80,  0.76, 1.353,K3III
23925, 8.67,   3.43,  0.98, 0.206,A0
23926, 7.79,   4.13,  0.92, 0.110,B9
23927, 7.25,   4.80,  1.02, 1.354,K0
23928, 8.34,   3.48,  1.05, 0.306,B5
23929, 8.77,   2.39,  1.63, 1.538,M6III:
23930,10.12,   1.70,  2.43, 1.423,K5V
23931, 6.51,   5.94,  0.87, 0.903,G5III
23932, 9.28,   0.86,  1.41, 1.593,M4IIIvar
23933, 7.89,   9.76,  1.55, 0.642,G1V
23934, 7.96,   5.27,  0.99, 0.404,F2/F3III
23935,10.23,   4.11,  2.39, 0.519,A9III
23936, 8.02,   0.13,  1.09, 0.069,B2IV
23937, 8.63,   3.63,  1.23, 1.067,G9V
23938, 7.93,   4.56,  1.05, 0.984,G5
23939, 6.51,   6.31,  0.88, 0.141,B8V
23940, 8.77,   5.55,  1.16, 0.340,A2
23941, 8.80,   2.23,  1.10, 0.076,B9
23942, 9.35,   3.38,  1.50, 0.545,F5
23943,10.75,   8.90,  2.63, 1.100,M0
23944, 9.29,   3.35,  1.39, 0.461,F5
23945, 8.41,   5.12,  1.28, 0.378,F0
23946, 6.64,   9.37,  0.93, 0.190,A3
23947, 8.96,   1.26,  1.51, 2.928,C5II
23948, 8.09,   3.02,  0.77, 0.972,K0
23949, 8.84,   3.28,  1.16, 1.024,K2
23950, 7.56,   8.97,  0.64, 0.379,F0V
23951, 8.19,   3.34,  0.99,-0.068,B9
23952, 8.68,   8.17,  1.26, 0.400,F5
23953, 8.10,   4.37,  0.92, 0.245,A4IV
23954, 4.25,   1.86,  0.88,-0.187,B2IVn
23955, 9.13,   2.24,  0.75, 0.456,F3V
23956, 9.96,   2.63,  1.79, 0.492,F8
23957, 8.95,   1.81,  0.95, 1.075,K0III
23958, 7.87,   3.40,  1.02, 1.284,G5
23959, 8.31,  10.91,  1.19, 0.403,F0
23960, 7.26,   4.00,  0.59, 1.029,G8III
23961, 9.17,   0.54,  1.33, 1.290,K2/K3III
23962, 8.47,   7.68,  1.24, 0.410,F0
23963, 9.35,   0.85,  1.98, 1.574,K5
23964, 8.88,   4.70,  1.15, 0.180,A0
23965, 5.43,  18.54,  0.83, 0.249,A2m
23966, 8.84,  14.12,  0.79, 0.651,G2V
23967, 8.27,   4.41,  1.01, 0.281,F0
23968, 8.74,  11.86,  0.76, 0.534,F7V
23969, 8.90,   2.99,  0.70,-0.019,B9V
23970, 7.94,   5.86,  1.27, 0.737,G3V
23971, 9.43,   1.83,  1.39, 0.046,A1V
23972, 8.27,   5.69,  1.13, 0.179,A1V
23973, 8.83,   1.74,  0.84, 0.932,G8III
23974, 7.24,   2.76,  0.86, 1.128,K1IIICN...
23975, 8.98,   1.52,  1.38, 0.313,A0
23976, 8.63,  -0.38,  1.19, 0.121,B8
23977, 6.59,   7.37,  0.87, 1.018,G8V
23978, 8.03,   1.37,  1.32, 1.769,M...
23979, 9.17,   4.03,  1.31, 0.261,F5
23980, 9.55,   2.88,  1.92, 0.351,A
23981, 9.01,   1.43,  1.25, 1.409,K2/K3III
23982,10.30,  10.29,  1.94, 0.991,
23983, 9.83,   3.21,  1.96, 0.187,A0
23984, 8.79,   0.51,  2.01,-0.200,K0III
23985, 6.91,   3.67,  0.89, 1.006,G5
23986, 6.43,   8.52,  0.78, 1.101,K1III
23987, 7.72,   7.77,  0.55, 0.351,F0/F2III
23988, 8.51,  17.28,  1.19, 0.677,G0
23989,10.58,  -1.51,  1.18, 0.093,A0Ia0
23990, 7.49,  16.51,  0.60, 0.463,F5V
23991, 6.63,  11.81,  0.77, 0.251,A5
23992, 4.81,  10.24,  0.96, 0.313,F2IV
23993, 9.60,   0.81,  2.29, 0.400,A2
23994, 7.52,   3.20,  0.83, 1.379,K0
23995, 8.04,   6.60,  1.58, 0.736,G5
23996, 7.23,   9.17,  0.84, 0.368,F3IV
23997, 8.80,   2.59,  0.77, 1.355,K1III
23998, 6.67,  18.79,  0.92, 0.526,F8V
23999, 6.37,  25.27,  0.71, 0.448,F3V:
24000, 7.86,   2.37,  0.79, 1.653,M0III
24001, 5.93,  18.28,  1.30, 0.311,A5m
24002, 8.62,  18.28,  1.30, 0.707,A3
24003, 7.41,  21.39,  1.21, 0.464,F8
24004, 8.19,   6.90,  0.96, 0.745,G0
24005, 8.50,   1.46,  0.79, 1.249,K1/K2III
24006, 8.75,   2.17,  1.04, 0.022,B9
24007, 8.35,  -0.46,  1.32, 2.579,C5II
24008,10.08,   6.95,  1.12, 0.588,G2/G3V
24009, 7.72,   5.04,  0.74, 1.061,G5
24010, 8.80,   2.74,  1.13, 0.140,A2
24011, 8.15,   0.14,  1.05, 0.200,B1Ve
24012, 9.71,  10.29,  1.66, 0.520,G0
24013, 7.02,  11.86,  1.34, 0.546,F8
24014, 7.95,   3.92,  1.52, 0.950,G5
24015, 9.14,   1.69,  1.49, 0.385,A0
24016, 9.51,   4.60,  1.64, 0.541,G0V
24017, 9.22,  25.67,  1.53, 0.930,G5
24018, 7.28,   6.65,  0.67, 0.066,A0
24019, 8.49,  21.80,  1.22, 0.681,G0
24020, 6.89,   2.10,  0.62, 1.537,K5III
24021, 9.48,  11.27,  1.04, 0.740,G8IV
24022, 8.32,   5.19,  0.72, 0.407,F2/F3IV/V
24023, 6.11,  10.37,  1.14, 1.098,K0III
24024, 8.31,   0.76,  1.18, 1.844,M...
24025,10.00,       ,      , 0.419,
24026, 8.60,   2.23,  0.93, 1.314,K0
24027, 6.97,  24.88,  1.06, 0.505,F8V
24028, 9.12,   4.09,  1.55, 1.427,G5
24029, 8.32,   2.54,  1.11, 0.005,B9V
24030, 8.01,   5.24,  0.98, 0.264,A5
24031, 8.67,   2.61,  0.75, 1.375,K2III
24032, 9.34,   2.31,  1.73, 0.410,F2
24033, 7.49,   6.28,  1.08, 0.060,B9
24034,10.01,  -0.75,  2.08, 0.070,B8V
24035, 8.76,   3.31,  0.70, 1.205,K1III
24036, 8.34,   2.01,  1.12, 1.272,K2
24037, 9.80,  -1.02,  1.47, 1.043,M8IIIe
24038, 7.87,   6.84,  0.77, 0.132,A0m...
24039, 7.81,   3.11,  1.13, 0.052,B9V
24040, 6.69,  14.80,  0.91, 0.381,F4III
24041, 8.97,   1.21,  0.83,-0.075,B9III/IV
24042, 9.82,   4.20,  1.00, 0.870,
24043, 7.52,   4.35,  0.93, 0.243,A0
24044, 7.97,   2.19,  1.47, 1.036,G8/K0III
24045, 8.74,   1.69,  0.89, 1.627,M3III:
24046, 7.76,  16.15,  1.29, 0.539,F8
24047,10.01,   1.65,  1.09, 1.590,K4III
24048, 8.08,   2.43,  1.50, 0.200,B9
24049, 8.95,   3.62,  1.22, 0.939,K0
24050,12.27,  32.83,  4.72, 1.383,M0V:
24051, 8.76,  -0.33,  1.22, 1.280,K1III
24052,10.07,   2.56,  1.22, 0.590,G2
24053, 6.02,   1.59,  1.62, 0.720,B2II: comp
24054, 9.95,   1.78,  1.50, 1.025,G5
24055, 9.97,   0.48,  1.01, 0.550,G0w...
24056, 8.56,   7.09,  1.41, 0.243,F0
24057, 7.42,  17.56,  0.99, 0.543,F8
24058, 8.79,   1.17,  1.38, 1.000,K0
24059,11.39,       ,      , 1.530,M:
24060, 8.63,   5.74,  0.75, 0.483,F5V
24061,10.40,  -0.46,  1.07, 0.013,B2.5Iab:e
24062, 8.98,   3.54,  1.18, 0.127,A0
24063, 8.81,   5.22,  0.74, 0.356,F2IV
24064, 9.65,   4.14,  1.49, 0.362,F0
24065, 7.58,  12.47,  0.54, 0.513,F7/F8V
24066, 7.73,   5.57,  0.59, 1.102,K1IIIp
24067, 8.85,   1.43,  1.13, 1.470,K2III
24068, 7.95,   3.12,  0.86, 1.549,K3III
24069, 9.51,  -1.25,  5.30, 0.108,A0
24070, 9.50,   3.42,  0.97, 0.892,G6/G8III
24071, 8.68,   4.73,  0.84, 1.176,K1III
24072, 9.45,   8.50,  1.07, 0.600,G2
24073, 8.08,   4.69,  0.90, 0.002,A0V
24074, 7.30,  10.09,  1.09, 0.111,A0
24075, 9.16,   1.34,  1.41, 0.015,B9.5V
24076, 9.44,   7.48,  1.22, 0.486,F5IV
24077, 8.65,  17.19,  0.75, 0.704,G6V
24078, 7.72,  12.49,  1.16, 0.529,F5
24079, 8.09,   3.84,  1.85, 1.064,K0
24080, 7.13,   4.89,  0.73,-0.057,B8
24081, 6.71,   1.04,  1.03, 1.594,K1Ib
24082, 9.44,   3.36,  1.59, 0.020,B5
24083, 9.23,   2.56,  1.23, 0.363,A0
24084, 7.90,   2.56,  1.34, 0.044,B8
24085, 8.16,  10.09,  1.06, 0.533,F8
24086, 9.41,   0.47,  1.38, 0.990,G2
24087, 7.83,   8.85,  0.71, 0.329,A1m...
24088, 9.60,   4.04,  3.90, 0.946,G8V
24089,10.52,   4.54, 12.21, 0.374,
24090, 6.74,  11.63,  0.88, 0.301,F0
24091, 5.67,  21.64,  0.87, 0.452,F5V
24092, 8.71,  17.86,  0.82, 0.765,G8IV/V
24093, 7.73,   7.65,  0.95,-0.100,A4:m...
24094, 7.64,   6.99,  1.24,-0.036,B9V
24095, 8.46,  14.85,  1.43, 0.636,G5
24096, 6.40,   4.50,  0.72, 1.246,K1III/IV
24097, 9.14,   3.75,  1.21, 1.345,K3III
24098, 7.84,  11.56,  1.19, 0.445,F0
24099, 8.43,   2.39,  1.13,-0.053,B8V
24100, 8.50,   3.09,  0.76, 1.199,K1III
24101, 8.23,   3.09,  1.22, 0.027,B2Vne
24102, 9.45,   1.64,  1.08, 0.854,G6/G8w...
24103, 8.60,   4.00,  1.14, 1.225,K0
24104, 8.61,   2.48,  0.83, 1.036,G8III
24105, 8.58,   5.99,  1.18, 0.287,A7IV
24106,10.94,  13.51,  2.80, 0.979,K7
24107, 8.57,   1.24,  0.75, 0.122,A3
24108, 9.11,   2.09,  1.29, 1.319,M7e
24109, 7.87,   1.11,  2.05, 0.033,B8V
24110, 9.66,   1.97,  1.36, 0.496,F5V
24111, 6.24,  20.66,  0.84, 0.984,G8III
24112, 8.37,   2.81,  1.25, 0.168,A0
24113, 7.10,   1.37,  0.65, 1.436,K3III
24114, 7.93,   2.61,  1.15, 0.090,B9
24115, 7.61,  21.39,  2.18, 0.718,G5...
24116, 8.63,   1.87,  0.88, 1.549,K5/M0
24117, 8.77,   1.19,  1.17, 0.043,A0
24118, 9.58,  15.74,  1.44, 0.815,G5
24119, 8.30,   8.18,  3.13, 0.761,G5
24120, 8.89,   4.26,  2.56, 0.300,A0/A1V
24121, 8.64,   3.25,  0.95, 0.378,F0
24122, 8.92,   1.75,  1.29, 0.068,B9
24123, 9.46,   9.15,  8.87, 0.592,G5
24124, 9.15,  13.53,  1.78, 0.849,G0
24125, 8.99,   4.37,  1.21, 0.126,A0
24126,10.62,  -0.68,  2.88, 0.540,A2V
24127, 8.74,  -1.07,  1.26, 0.376,B8
24128, 7.91,   4.39,  1.01, 0.120,A0
24129, 8.59,   1.79,  0.74, 1.209,K2III
24130, 7.93,   0.82,  0.94, 0.967,K0II
24131, 8.32,   4.14,  1.04, 0.954,G8III/IV
24132, 7.84,   7.04,  1.03, 0.456,F0
24133, 7.86,   5.01,  1.01, 0.529,F5
24134, 8.28,   7.97,  0.94, 0.358,A9V
24135, 9.14,   9.21,  0.84, 0.642,G3V
24136, 9.89,   0.67,  1.63, 0.111,A2
24137, 9.66,   5.01,  0.97, 0.422,F2V
24138, 9.40,  -6.68,  2.16, 0.486,F8V
24139, 9.62,  20.83,  1.02, 0.853,G8
24140, 8.07,   1.49,  1.07, 0.755,F2
24141, 8.16,   3.09,  1.68, 1.029,K0
24142, 7.11,   5.08,  0.94,-0.034,A0
24143, 9.36,   1.98,  1.42, 1.185,G8/K0III
24144, 5.89,  26.04,  0.83, 0.462,F5V
24145, 8.09,   3.02,  1.02, 0.221,B8
24146, 8.05,   5.84,  1.22, 0.115,A0
24147, 8.36,   1.72,  0.84, 1.372,K3III
24148,10.53,   2.69,  1.85, 0.598,F8
24149, 8.62,   2.84,  0.79, 0.496,F5IV/V
24150, 8.52,   4.69,  1.32, 1.130,K1III
24151, 5.60,   7.30,  0.71, 1.350,M6.2III
24152,10.67,   4.48,  2.84, 0.605,F5
24153, 8.64,   1.04,  0.72, 1.170,K2II/III
24154, 6.62,   6.14,  1.04, 1.165,K0
24155, 7.60,   4.18,  0.62, 1.542,K5III
24156, 8.26,   4.13,  0.73, 1.081,K0III
24157, 7.74,   1.48,  1.08, 0.567,F5
24158, 8.12,  18.02,  0.83, 0.708,G5V
24159,11.97,  18.73,  4.43, 1.461,M1
24160, 7.06,   8.48,  0.65, 0.478,F3/F5V
24161, 7.52,   3.33,  0.92, 0.404,F0
24162, 7.88,  17.75,  1.12, 0.522,F8
24163,10.45,   5.87,  2.38, 0.450,F8
24164, 8.63,   5.63,  1.42, 1.129,K0
24165, 9.77,   2.25,  1.78, 0.148,A3V
24166, 7.08,   5.48,  1.00, 1.514,K2
24167, 8.43,   2.08,  1.04, 1.531,K5
24168, 8.86, 255.26,  0.86, 1.543,M0V
24169, 7.92,   5.51,  0.61, 1.123,K1III
24170, 8.63,   6.97,  1.15, 0.278,A0
24171, 6.57,   3.05,  0.59, 1.653,M1III
24172, 9.52,  20.92,  1.67, 0.925,K3IV
24173, 7.80,  11.16,  0.96, 0.472,F5
24174, 9.85,  17.17,  1.40, 0.920,
24175, 6.42,   2.85,  0.93, 1.752,M2III
24176, 9.60,   2.82,  1.20, 0.337,F0
24177, 9.37,   3.32,  1.41, 0.282,A0
24178, 6.68,   2.03,  1.04,-0.072,B9Vn
24179, 5.18,  10.15,  0.82, 1.525,K5III
24180, 7.87,   3.18,  1.25, 0.060,A0
24181, 8.50,   1.14,  0.97, 0.082,A0
24182, 9.18,   8.38,  0.84, 0.480,F5V
24183, 8.56,   3.16,  1.43,-0.004,B1:V:ne:
24184, 8.70,  12.65,  0.80, 0.558,F8V
24185, 5.88,   3.56,  1.30, 0.662,F5
24186, 8.59,  10.16,  0.82, 0.466,F3/F5V
24187, 7.00,  34.85,  1.33, 0.588,G0
24188, 9.24,   2.93,  0.92, 1.056,K0III
24189, 7.62,   3.48,  1.08, 1.317,K0
24190, 9.40,  -0.56,  1.62, 0.502,F8
24191, 8.96,   2.59,  1.20, 0.041,B9
24192, 8.04,  33.68,  1.16, 0.799,K1V
24193, 7.07,   6.00,  0.98, 0.999,K0
24194, 7.59,   4.80,  0.89, 0.001,A0
24195, 9.17,   8.98,  1.10, 0.660,K0
24196, 8.97,   2.45,  1.02, 1.030,G8/K0III/IV
24197, 7.87,   8.28,  0.65, 0.398,F2IV
24198, 8.61,   3.41,  1.35, 0.919,K0
24199, 7.46,   5.05,  1.51, 1.091,K0
24200, 9.00,   3.32,  0.96, 1.108,K0III
24201, 7.85,   6.37,  0.58, 1.095,K2III/IVCN.
24202, 8.54,   0.73,  1.93, 0.162,B8
24203, 7.03,  15.26,  0.57, 0.431,F5V
24204, 7.84,   2.49,  0.63,-0.076,B9Vp...
24205, 8.19,   1.65,  1.28, 0.022,B8
24206, 7.43,   7.32,  0.61, 1.117,K1III
24207, 8.81,   6.95,  1.19, 0.320,F5
24208,11.98,   8.68,  3.19,      ,
24209, 8.61,   6.87,  2.71,-0.110,F0V
24210, 9.17,  12.19,  0.99, 0.650,G3/G5V
24211, 7.60,   1.26,  1.69, 1.624,K0
24212, 8.87,   2.58,  1.27, 1.046,G5
24213, 9.35,  -0.02,  1.18, 0.124,A0
